im0000,29.7,143,30.6,117,28.9,84.7,43,85.1,42.2,111,42.6,133,24.5,52.9,15.3,63,24.1,42.1,50.6,44.1,52.7,59,53.9,59,38.2,36.1,39,15.6
im0001,28.1,167,49.2,137,62.6,95.8,80.2,96.1,91.6,131,78.4,143,61.3,79,50,73.7,63.9,50.6,98.7,53.5,111,69.8,109,96.4,81,52.7,83.4,30.8
im0002,40.5,81.8,28,50.4,50.1,68.9,62.5,81.3,60.4,115,47.7,104,35.5,28,59.3,35.6,81.2,35.5,97.8,66.6,92.4,98.1,93.5,96.4,95.1,51.3,94.3,29.7
im0003,19.6,138,52.6,116,41.1,81.3,48.1,83.4,49.3,117,40.7,158,44,84.2,34.9,55.3,41.5,34.3,53.4,37.6,42.7,61.9,54.3,94.9,55.5,30.6,68.7,19.5
im0004,44.8,151,51.3,116,34.4,89.5,24.6,87.5,36.3,118,22.6,141,78.1,38.6,63.1,48.4,46.8,44.5,49.4,51,68.3,60.1,78.8,45.8,51.3,37.9,52.6,22.3
im0005,33.9,161,61.6,134,76.6,101,78.2,102,114,117,119,158,94.7,88,70.7,73.7,81.4,53.4,85.1,57.1,68.6,75.3,58.4,91.8,90.4,52.9,94.2,33.7
im0006,55.6,32.3,80.9,80.7,45.5,103,44.4,103,70.1,74,32.5,66.2,77.9,87,58.9,112,89.4,109,84.6,116,51.8,112,66.7,95.6,95,107,114,98.9
im0007,51.7,156,55.4,122,67,93.2,81.3,97.1,87.3,128,75.5,165,28,40.2,43.8,46.3,67.6,47.2,98,53.6,113,73.1,129,94.7,80.6,50,91,41.1
im0008,46.3,146,59.7,113,34.8,90.5,49.3,92.7,37.8,124,22.1,150,19.9,75.6,15.8,60.7,31.1,47.8,54.9,41.3,63.1,59.9,69.4,50.6,42.8,39.3,43.9,21.2
im0009,30.9,149,52.9,120,28.5,117,37.2,118,42.8,139,35.8,163,84.9,28.7,68.5,45,48.3,66.3,59.8,79.5,82.8,72.9,99.9,54.1,55,71.1,47.6,55.5
im0010,43.9,108,63.4,114,44.5,87.4,26.7,87.4,33,80.2,28.4,114,93.6,96,81.2,77.6,75.5,56.4,52.8,42.3,45.6,74.2,62.9,97.7,71.2,42.6,79.5,26.8
im0011,44.5,160,76.7,113,67.9,82.9,78.6,86.6,110,69.7,156,97,84.3,17.6,78.1,26.9,72.4,48.3,87.9,60.4,110,60.4,108,42.4,81.4,48.3,82.6,39.3
im0012,26.8,153,29.1,119,28.7,85.8,41.9,86.2,46.8,120,44.9,148,22.8,82.6,16.2,68.1,21.8,45.7,49.2,43.4,47.2,64.5,57.1,71.7,36,35.5,35,16.4
im0013,92.5,51.9,128,44.9,112,51.9,97.2,53.6,57.5,53.2,17.6,50.9,112,35.3,87.7,23.8,64.9,17.6,64.5,36.3,43.1,61.4,19.1,54.8,61.4,27.1,49.9,20.1
im0014,93.5,164,94.2,131,75.9,98.6,66,98.6,61.8,132,32.2,144,113,85.2,94.9,76.8,94.9,58.4,88.6,57,83,78.2,93.5,87.3,94.2,52.1,97.7,32.4
im0015,42,160,79.4,142,84,113,98.1,116,131,131,136,161,38.9,73.7,48.2,71.3,71.6,73.7,102,59.6,112,48,131,38.6,89.5,71.3,89.5,51.1
im0016,57.1,167,51.6,132,43.7,90,56.5,93.7,68.2,129,59.6,140,35.1,74.7,20.4,79.6,30.2,56.3,60.8,49.6,71.2,64.3,71.2,75.3,47.4,42.3,45.5,20.2
im0017,62,170,66.7,121,41.4,84.9,32.6,86.4,50.7,122,21.8,148,76.5,93.7,67.7,76.6,70.8,52.9,38.8,46.7,22.8,67.9,40.3,72.5,67.7,37.4,70.3,21.9
im0018,128,37.8,111,60.7,94.4,83.6,79.9,82.3,79.6,60.7,81,40.8,81,168,87.7,142,90.7,115,61.7,118,48.2,143,33.1,168,76.6,115,70.8,130
im0019,33.2,137,52.1,128,69.4,99.7,84.4,102,107,120,109,155,45.8,40,43.3,57.5,66.9,57.5,105,60,116,81.1,110,87.1,87.2,49.9,90.5,33.1
im0020,75.4,131,58.5,134,63.3,104,79.6,100,71.3,125,66.8,158,35,77.9,45,84.4,58.9,63.7,86.5,54.7,101,67.1,122,77.9,71,54.4,67.5,35
im0021,53.6,123,41.9,85.8,16.6,80,36.7,75.1,36.8,95.8,34.3,128,36.5,74.9,15.3,69.8,18,41.5,47.8,42,43.8,65.9,25.9,75.1,32.9,34.5,33.4,12.8
im0022,128,68.3,89.5,67.1,96.3,31,99.6,24.9,101,61.2,124,34,54.8,38.7,70.8,18.8,50.8,25.8,51.8,36.8,52,61.2,46.4,88,46.8,36.6,27.6,42.7
im0023,47.3,138,43.1,105,34.4,81.9,15.2,82.6,29.8,115,16.2,120,48.7,65.6,26.2,59.3,26.9,38.2,14,36.8,15.7,59.6,34.2,63.9,26.2,30.2,31.7,13.5
im0024,52.8,172,44.3,137,43.9,91.9,56.9,87.1,61.4,122,80.7,159,29.7,50.3,23,46.5,40.9,39.8,64,47.3,59.9,70.7,37.2,64,53.2,38.4,56.5,23.1
im0025,108,145,84.3,104,58.2,91.2,80.1,91,96.7,125,66.5,162,35.4,87.8,38.3,73.4,55.9,52.3,87.7,48.9,108,73.2,124,78.8,77,46.4,78.9,25.1
im0026,27.8,166,47.2,128,46.8,93.1,47.7,93.1,58.8,129,53.2,172,97.6,66.3,84.2,73.2,71.2,53.4,55.5,57.1,68,79.7,91.1,67.2,66.2,45.5,64.8,28
im0027,36.4,157,17.8,136,15.8,107,27,104,33.8,129,47.1,162,28.7,13.4,18.3,35.4,23.8,54.3,13.4,68.4,31.1,82.7,38.9,68.4,34,56,42.5,42.4
im0028,22.5,154,44,127,40.3,90.4,55.2,94.2,56.2,127,54.3,162,78.6,48.3,59,59.6,49.6,45.5,49.6,53,44,76.4,53.3,97.9,53.3,40.9,54.3,22.2
im0029,53.9,149,39.3,123,39.3,90.3,54.4,92.9,47.3,123,45.1,159,25.6,70.3,20.3,73,27.4,50,61.5,51.3,71.6,68.1,65.9,84.1,46.4,41.6,47.7,20.8
im0030,15.3,130,28.5,117,27.5,82.7,44.2,78.8,50.7,107,49,142,33.7,50.7,31.1,62.6,19.1,44.2,30.8,31.1,37.8,44.7,54,32.7,26.3,33.9,16,15.3
im0031,46.1,145,39.9,111,60.4,81.7,50.9,82.5,49.3,115,54.7,152,46.6,73.9,55.2,57.7,57.4,36.1,39.1,44.2,32.9,67.9,17.2,73.3,40.9,33.2,33.1,17.2
